date,hour,latitude,longitude,temperature,humidity,pressure,rainfall,u_wind,v_wind,boundary_layer_height
2023-01-01,0,28.647,77.315,285.0,58.0,100833.0,0.0,1.8,0.19999999999999996,933.0
2023-01-01,0,19.055,72.842,298.0,58.0,101233.0,0.0,1.8,0.19999999999999996,1233.0
2023-01-01,0,13.035,77.598,293.0,58.0,101033.0,0.0,1.8,0.19999999999999996,1133.0
2023-01-01,0,22.544,88.342,292.0,58.0,100933.0,0.0,1.8,0.19999999999999996,983.0
2023-01-01,0,13.165,80.263,299.0,58.0,101133.0,0.0,1.8,0.19999999999999996,1183.0
2023-01-01,0,17.456,78.441,295.0,58.0,101083.0,0.0,1.8,0.19999999999999996,1083.0
2023-01-01,0,25.611,85.093,287.0,58.0,100783.0,0.0,1.8,0.19999999999999996,883.0
2023-01-01,0,18.531,73.849,294.0,58.0,101033.0,0.0,1.8,0.19999999999999996,1133.0
2023-01-01,0,30.733,76.789,282.0,58.0,100633.0,0.0,1.8,0.19999999999999996,833.0
2023-01-01,0,26.847,80.947,286.0,58.0,100833.0,0.0,1.8,0.19999999999999996,913.0
2023-01-01,0,22.719,75.857,292.0,58.0,100983.0,0.0,1.8,0.19999999999999996,1033.0
2023-01-01,0,23.259,77.413,291.0,58.0,100933.0,0.0,1.8,0.19999999999999996,1013.0
2023-01-01,1,28.647,77.315,286.2940952255126,54.11771432346219,100755.35428646924,0.0,2.4543893935923045,0.11743541947210656,1036.5276180410083
2023-01-01,1,19.055,72.842,299.2940952255126,54.11771432346219,101155.35428646924,0.0,2.4543893935923045,0.11743541947210656,1336.5276180410083
2023-01-01,1,13.035,77.598,294.2940952255126,54.11771432346219,100955.35428646924,0.0,2.4543893935923045,0.11743541947210656,1236.5276180410083
2023-01-01,1,22.544,88.342,293.2940952255126,54.11771432346219,100855.35428646924,0.0,2.4543893935923045,0.11743541947210656,1086.5276180410083
2023-01-01,1,13.165,80.263,300.2940952255126,54.11771432346219,101055.35428646924,0.0,2.4543893935923045,0.11743541947210656,1286.5276180410083
2023-01-01,1,17.456,78.441,296.2940952255126,54.11771432346219,101005.35428646924,0.0,2.4543893935923045,0.11743541947210656,1186.5276180410083
2023-01-01,1,25.611,85.093,288.2940952255126,54.11771432346219,100705.35428646924,0.0,2.4543893935923045,0.11743541947210656,986.5276180410083
2023-01-01,1,18.531,73.849,295.2940952255126,54.11771432346219,100955.35428646924,0.0,2.4543893935923045,0.11743541947210656,1236.5276180410083
2023-01-01,1,30.733,76.789,283.2940952255126,54.11771432346219,100555.35428646924,0.0,2.4543893935923045,0.11743541947210656,936.5276180410083
2023-01-01,1,26.847,80.947,287.2940952255126,54.11771432346219,100755.35428646924,0.0,2.4543893935923045,0.11743541947210656,1016.5276180410083
2023-01-01,1,22.719,75.857,293.2940952255126,54.11771432346219,100905.35428646924,0.0,2.4543893935923045,0.11743541947210656,1136.5276180410083
2023-01-01,1,23.259,77.413,292.2940952255126,54.11771432346219,100855.35428646924,0.0,2.4543893935923045,0.11743541947210656,1116.5276180410083
2023-01-01,2,28.647,77.315,287.5,50.5,100683.0,0.0,3.0367396061394736,-0.1211691088345781,1133.0
2023-01-01,2,19.055,72.842,300.5,50.5,101083.0,0.0,3.0367396061394736,-0.1211691088345781,1433.0
2023-01-01,2,13.035,77.598,295.5,50.5,100883.0,0.0,3.0367396061394736,-0.1211691088345781,1333.0
2023-01-01,2,22.544,88.342,294.5,50.5,100783.0,0.0,3.0367396061394736,-0.1211691088345781,1183.0
2023-01-01,2,13.165,80.263,301.5,50.5,100983.0,0.0,3.0367396061394736,-0.1211691088345781,1383.0
