date,latitude,longitude,station_id,AOD,source,year,month,day,season,AOD_lag_1,AOD_lag_3,AOD_weekly_average,humidity_corrected_AOD,aod_boundary_layer_ratio,ventilation_index,aerosol_intensity
2023-01-01,28.647,77.315,STN_001,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,19.055,72.842,STN_002,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,13.035,77.598,STN_003,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,22.544,88.342,STN_004,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,13.165,80.263,STN_005,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,17.456,78.441,STN_006,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,25.611,85.093,STN_007,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,18.531,73.849,STN_008,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,30.733,76.789,STN_009,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,26.847,80.947,STN_010,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,22.719,75.857,STN_011,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-01,23.259,77.413,STN_012,0.28,MODIS_MAIAC,2023,1,1,Winter,0.28,0.28,0.28,0.30800000000000005,0.00028000000000000003,2.8000000000000003,Medium
2023-01-02,28.647,77.315,STN_001,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,19.055,72.842,STN_002,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,13.035,77.598,STN_003,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,22.544,88.342,STN_004,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,13.165,80.263,STN_005,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,17.456,78.441,STN_006,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,25.611,85.093,STN_007,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,18.531,73.849,STN_008,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,30.733,76.789,STN_009,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,26.847,80.947,STN_010,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,22.719,75.857,STN_011,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-02,23.259,77.413,STN_012,0.29,MODIS_MAIAC,2023,1,2,Winter,0.28,0.28,0.28500000000000003,0.319,0.00029,2.9,Medium
2023-01-03,28.647,77.315,STN_001,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,19.055,72.842,STN_002,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,13.035,77.598,STN_003,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,22.544,88.342,STN_004,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,13.165,80.263,STN_005,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,17.456,78.441,STN_006,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,25.611,85.093,STN_007,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,18.531,73.849,STN_008,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,30.733,76.789,STN_009,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,26.847,80.947,STN_010,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,22.719,75.857,STN_011,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-03,23.259,77.413,STN_012,0.3,MODIS_MAIAC,2023,1,3,Winter,0.29,0.28,0.29,0.33,0.0003,3.0,Medium
2023-01-04,28.647,77.315,STN_001,0.31,MODIS_MAIAC,2023,1,4,Winter,0.3,0.28,0.295,0.341,0.00031,3.1,Medium
2023-01-04,19.055,72.842,STN_002,0.31,MODIS_MAIAC,2023,1,4,Winter,0.3,0.28,0.295,0.341,0.00031,3.1,Medium
2023-01-04,13.035,77.598,STN_003,0.31,MODIS_MAIAC,2023,1,4,Winter,0.3,0.28,0.295,0.341,0.00031,3.1,Medium
2023-01-04,22.544,88.342,STN_004,0.31,MODIS_MAIAC,2023,1,4,Winter,0.3,0.28,0.295,0.341,0.00031,3.1,Medium
2023-01-04,13.165,80.263,STN_005,0.31,MODIS_MAIAC,2023,1,4,Winter,0.3,0.28,0.295,0.341,0.00031,3.1,Medium
2023-01-04,17.456,78.441,STN_006,0.31,MODIS_MAIAC,2023,1,4,Winter,0.3,0.28,0.295,0.341,0.00031,3.1,Medium
