date,latitude,longitude,station_id,AOD,source
2023-12-28,28.647,77.315,STN_001,0.39,MODIS_MAIAC
2023-12-28,19.055,72.842,STN_002,0.39,MODIS_MAIAC
2023-12-28,13.035,77.598,STN_003,0.39,MODIS_MAIAC
2023-12-28,22.544,88.342,STN_004,0.39,MODIS_MAIAC
2023-12-28,13.165,80.263,STN_005,0.39,MODIS_MAIAC
2023-12-28,17.456,78.441,STN_006,0.39,MODIS_MAIAC
2023-12-28,25.611,85.093,STN_007,0.39,MODIS_MAIAC
2023-12-28,18.531,73.849,STN_008,0.39,MODIS_MAIAC
2023-12-28,30.733,76.789,STN_009,0.39,MODIS_MAIAC
2023-12-28,26.847,80.947,STN_010,0.39,MODIS_MAIAC
2023-12-28,22.719,75.857,STN_011,0.39,MODIS_MAIAC
2023-12-28,23.259,77.413,STN_012,0.39,MODIS_MAIAC
