date,latitude,longitude,station_id,AOD,source
2023-01-12,28.647,77.315,STN_001,0.3,MODIS_MAIAC
2023-01-12,19.055,72.842,STN_002,0.3,MODIS_MAIAC
2023-01-12,13.035,77.598,STN_003,0.3,MODIS_MAIAC
2023-01-12,22.544,88.342,STN_004,0.3,MODIS_MAIAC
2023-01-12,13.165,80.263,STN_005,0.3,MODIS_MAIAC
2023-01-12,17.456,78.441,STN_006,0.3,MODIS_MAIAC
2023-01-12,25.611,85.093,STN_007,0.3,MODIS_MAIAC
2023-01-12,18.531,73.849,STN_008,0.3,MODIS_MAIAC
2023-01-12,30.733,76.789,STN_009,0.3,MODIS_MAIAC
2023-01-12,26.847,80.947,STN_010,0.3,MODIS_MAIAC
2023-01-12,22.719,75.857,STN_011,0.3,MODIS_MAIAC
2023-01-12,23.259,77.413,STN_012,0.3,MODIS_MAIAC
